t,tau2,tau3,tau6,tau7,dtr2,dtr3,dtr6,dtr7
1.990000,11.173108,-0.900000,-0.650000,-0.660000,-0.726892,-1.301704,1.773209,-21.664589
2.090000,11.115070,-0.646142,-0.650000,-0.660000,-0.784930,-0.746142,2.169838,-14.956604
2.190000,11.271867,0.039692,-0.650000,-0.660000,-0.628133,-0.060308,1.719992,-8.675053
2.290000,11.620770,0.821849,-0.824274,-0.660000,-0.279230,0.721849,0.575726,-1.985569
2.390000,11.966401,-0.007433,-1.915754,-0.660000,0.066401,-0.107433,-0.515754,-14.180182
2.490000,12.137488,0.056822,-2.150000,-0.660000,0.237488,-0.043178,-1.179313,-6.992346
2.590000,12.383912,0.833928,-2.150000,0.840000,0.483912,0.733928,-2.027280,1.547751
2.690000,12.502482,1.100000,-2.150000,0.840000,0.602482,1.308962,-2.555191,9.748291
2.790000,12.534195,1.100000,-2.150000,0.840000,0.634195,1.284269,-2.832600,10.732790
2.890000,12.465829,1.100000,-2.150000,0.840000,0.565829,1.701660,-2.575912,18.603616
2.990000,12.292569,1.100000,-2.150000,0.840000,0.392569,1.249392,-2.182859,5.199848
3.090000,12.222106,1.100000,-2.150000,0.840000,0.322106,1.276667,-1.782451,12.548317
3.190000,12.059282,1.100000,-2.150000,0.840000,0.159282,1.227655,-1.201039,12.822366
3.290000,11.850215,1.100000,-2.034789,0.840000,-0.049785,1.103031,-0.634789,14.560156
3.390000,11.643179,0.707156,-1.409822,0.840000,-0.256821,0.607156,-0.009822,5.675803
3.490000,11.435096,-0.103911,-0.758658,-0.660000,-0.464904,-0.203911,0.641342,-3.414916
3.590000,11.260250,-0.900000,-0.650000,-0.660000,-0.639750,-1.184872,1.317455,-16.365596
3.690000,11.095679,-0.900000,-0.650000,-0.660000,-0.804321,-1.346657,2.040198,-21.816826
3.790000,11.104362,-0.741617,-0.650000,-0.660000,-0.795638,-0.841617,2.222824,-18.430336
3.890000,11.261073,-0.900000,-0.650000,-0.660000,-0.638927,-1.746424,1.598006,-27.586718
3.990000,11.333166,-0.900000,-0.650000,-0.660000,-0.566834,-1.338937,1.284047,-20.496063
4.090000,11.548501,-0.728991,-0.653464,-0.660000,-0.351499,-0.828991,0.746536,-16.959621
4.190000,11.795313,0.026708,-1.389402,-0.660000,-0.104687,-0.073292,0.010598,-10.390368
4.290000,11.997417,-0.900000,-2.150000,-0.660000,0.097417,-1.049239,-0.783482,-21.974577
4.390000,12.137596,-0.723687,-2.150000,-0.660000,0.237596,-0.823687,-1.186937,-15.294575
4.490000,12.342302,0.041529,-2.150000,-0.660000,0.442302,-0.058471,-1.829830,-8.327102
4.590000,12.483414,0.812649,-2.150000,-0.559675,0.583414,0.712649,-2.410784,-0.649675
4.690000,12.497687,0.135688,-2.150000,-0.660000,0.597687,0.035688,-2.592181,-9.063678
4.790000,12.545359,0.829508,-2.150000,0.840000,0.645359,0.729508,-2.740846,3.211769
4.890000,12.496080,1.100000,-2.150000,0.840000,0.596080,1.314785,-2.607279,12.167577
4.990000,12.332306,1.100000,-2.150000,0.840000,0.432306,1.249037,-2.111360,12.575702
