reward,episode,image,idx_in_image,dataset
17.544526901669762,,6.4-training_start-0.5-4.0_red_points.png,63,segment6_1_to_6_5
18.163265306122447,,6.4-training_start-0.5-4.0_red_points.png,64,segment6_1_to_6_5
19.475295381310417,,6.4-training_start-0.5-4.0_red_points.png,65,segment6_1_to_6_5
8.870032223415677,,6.4-training_start-0.5-4.0_red_points.png,66,segment6_1_to_6_5
14.642857142857146,,6.4-training_start-0.5-4.0_red_points.png,67,segment6_1_to_6_5
26.861464585834334,,6.4-training_start-0.5-4.0_red_points.png,68,segment6_1_to_6_5
17.742105263157896,,6.5-training_start-0.5-4.0_red_points.png,1,segment6_1_to_6_5
31.63157894736842,,6.5-training_start-0.5-4.0_red_points.png,2,segment6_1_to_6_5
33.62719298245614,,6.5-training_start-0.5-4.0_red_points.png,3,segment6_1_to_6_5
22.133138401559457,,6.5-training_start-0.5-4.0_red_points.png,4,segment6_1_to_6_5
34.734175438596495,,6.5-training_start-0.5-4.0_red_points.png,5,segment6_1_to_6_5
22.13198380566802,,6.5-training_start-0.5-4.0_red_points.png,6,segment6_1_to_6_5
30.489473684210527,,6.5-training_start-0.5-4.0_red_points.png,7,segment6_1_to_6_5
10.808771929824566,,6.5-training_start-0.5-4.0_red_points.png,8,segment6_1_to_6_5
19.95743707093821,,6.5-training_start-0.5-4.0_red_points.png,9,segment6_1_to_6_5
23.955417956656348,,6.5-training_start-0.5-4.0_red_points.png,10,segment6_1_to_6_5
16.855245958032334,,6.5-training_start-0.5-4.0_red_points.png,11,segment6_1_to_6_5
17.581904198698993,,6.5-training_start-0.5-4.0_red_points.png,12,segment6_1_to_6_5
21.94607287449393,,6.5-training_start-0.5-4.0_red_points.png,13,segment6_1_to_6_5
16.121052631578948,,6.5-training_start-0.5-4.0_red_points.png,14,segment6_1_to_6_5
48.28105263157895,,6.5-training_start-0.5-4.0_red_points.png,15,segment6_1_to_6_5
18.84736842105263,,6.5-training_start-0.5-4.0_red_points.png,16,segment6_1_to_6_5
7.5,,6.5-training_start-0.5-4.0_red_points.png,17,segment6_1_to_6_5
22.96666666666667,,6.5-training_start-0.5-4.0_red_points.png,18,segment6_1_to_6_5
13.76969439728353,,6.5-training_start-0.5-4.0_red_points.png,19,segment6_1_to_6_5
17.299999999999997,,6.5-training_start-0.5-4.0_red_points.png,20,segment6_1_to_6_5
32.7298719772404,,6.5-training_start-0.5-4.0_red_points.png,21,segment6_1_to_6_5
12.61035653650255,,6.5-training_start-0.5-4.0_red_points.png,22,segment6_1_to_6_5
51.09145815358068,,6.5-training_start-0.5-4.0_red_points.png,23,segment6_1_to_6_5
18.343463497453307,,6.5-training_start-0.5-4.0_red_points.png,24,segment6_1_to_6_5
26.10526315789474,,6.5-training_start-0.5-4.0_red_points.png,25,segment6_1_to_6_5
32.945159194282,,6.5-training_start-0.5-4.0_red_points.png,26,segment6_1_to_6_5
25.286457717327025,,6.5-training_start-0.5-4.0_red_points.png,27,segment6_1_to_6_5
13.799999999999995,,6.5-training_start-0.5-4.0_red_points.png,28,segment6_1_to_6_5
10.129567821994002,,6.5-training_start-0.5-4.0_red_points.png,29,segment6_1_to_6_5
11.57236842105263,,6.5-training_start-0.5-4.0_red_points.png,30,segment6_1_to_6_5
31.377421815408088,,6.5-training_start-0.5-4.0_red_points.png,31,segment6_1_to_6_5
16.56315789473684,,6.5-training_start-0.5-4.0_red_points.png,32,segment6_1_to_6_5
28.94210526315789,,6.5-training_start-0.5-4.0_red_points.png,33,segment6_1_to_6_5
12.363157894736844,,6.5-training_start-0.5-4.0_red_points.png,34,segment6_1_to_6_5
17.820701754385972,,6.5-training_start-0.5-4.0_red_points.png,35,segment6_1_to_6_5
26.4,,6.5-training_start-0.5-4.0_red_points.png,36,segment6_1_to_6_5
19.624122807017542,,6.5-training_start-0.5-4.0_red_points.png,37,segment6_1_to_6_5
31.00126823081801,,6.5-training_start-0.5-4.0_red_points.png,38,segment6_1_to_6_5
17.339649122807018,,6.5-training_start-0.5-4.0_red_points.png,39,segment6_1_to_6_5
28.057894736842105,,6.5-training_start-0.5-4.0_red_points.png,40,segment6_1_to_6_5
34.168637346791634,,6.5-training_start-0.5-4.0_red_points.png,41,segment6_1_to_6_5
26.51052631578948,,6.5-training_start-0.5-4.0_red_points.png,42,segment6_1_to_6_5
21.647368421052636,,6.5-training_start-0.5-4.0_red_points.png,43,segment6_1_to_6_5
14.012413793103448,,6.5-training_start-0.5-4.0_red_points.png,44,segment6_1_to_6_5
17.22631578947368,,6.5-training_start-0.5-4.0_red_points.png,45,segment6_1_to_6_5
4.743540669856465,,6.5-training_start-0.5-4.0_red_points.png,46,segment6_1_to_6_5
23.078664402942834,,6.5-training_start-0.5-4.0_red_points.png,47,segment6_1_to_6_5
27.22255639097744,,6.5-training_start-0.5-4.0_red_points.png,48,segment6_1_to_6_5
26.405097649784835,,6.5-training_start-0.5-4.0_red_points.png,49,segment6_1_to_6_5
26.50759198882161,,6.5-training_start-0.5-4.0_red_points.png,50,segment6_1_to_6_5
19.668001863064735,,6.5-training_start-0.5-4.0_red_points.png,51,segment6_1_to_6_5
47.87894736842105,,6.5-training_start-0.5-4.0_red_points.png,52,segment6_1_to_6_5
17.926315789473684,,6.5-training_start-0.5-4.0_red_points.png,53,segment6_1_to_6_5
10.591862635311678,,6.5-training_start-0.5-4.0_red_points.png,54,segment6_1_to_6_5
23.41578947368421,,6.5-training_start-0.5-4.0_red_points.png,55,segment6_1_to_6_5
32.13861386138614,,6.5-training_start-0.5-4.0_red_points.png,56,segment6_1_to_6_5
10.568210526315788,,6.5-training_start-0.5-4.0_red_points.png,57,segment6_1_to_6_5
21.71171929824561,,6.5-training_start-0.5-4.0_red_points.png,58,segment6_1_to_6_5
